id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,1.3625,1.075,0.35,23.91280325,11.18387775,4.9044635,6.3786375,8.0
1,F,1.5625,1.225,0.4125,34.0477495,15.97494325,7.98038425,9.7238785,9.0
2,M,1.1625,0.8875,0.275,12.94154675,5.74077375,2.721552,3.118445,12.0
3,I,1.1375,0.9375,0.3,14.81261375,6.8322295,3.061746,4.53592,8.0
4,I,0.6,0.4125,0.125,1.3891255,0.60951425,0.3685435,0.453592,5.0
5,M,1.375,1.0375,0.3625,25.3728025,7.0590255,6.23689,7.654365,13.0
6,F,1.6125,1.25,0.45,35.777069,14.17475,9.015141,10.489315,10.0
7,I,0.6875,0.4875,0.125,3.0900955,1.474174,0.83631025,0.8788345,5.0
8,F,1.55,1.2125,0.4375,31.6096925,13.721158,6.16601625,8.50485,12.0
9,I,0.9,0.675,0.25,5.20213325,2.31048425,0.94970825,1.8427175,9.0
10,I,0.6375,0.4625,0.125,2.381358,0.72291225,0.60951425,0.60951425,5.0
11,F,1.5625,1.2125,0.4375,31.9498865,10.81533425,6.2652395,10.3475675,17.0
12,M,1.6,1.275,0.4125,38.11590275,16.782904,8.57572375,11.90679,13.0
13,I,0.9625,0.7625,0.25,7.3425205,3.44446425,1.60174675,2.551455,7.0
14,M,1.3625,1.025,0.35,19.9863975,9.73805325,4.23825025,6.23689,10.0
15,I,1.425,1.1,0.4125,28.81726675,12.85649825,6.90310325,7.654365,10.0
16,M,1.3625,1.0875,0.3875,23.81358,10.546014,6.010094,6.3786375,10.0
17,F,1.5875,1.275,0.3625,41.23434775,19.731252,8.83086925,10.489315,14.0
18,M,1.0125,0.675,0.2875,10.27669375,3.44446425,1.99863975,3.118445,19.0
19,M,1.5875,1.2375,0.4125,35.98969025,12.77144975,6.973977,13.60776,15.0
20,M,1.5875,1.25,0.3875,29.8520235,12.587178,6.93145275,10.489315,10.0
21,I,1.3,1.025,0.325,18.80989325,8.7032965,3.81300775,5.386405,8.0
22,I,0.9375,0.6875,0.1875,6.53455975,2.65067825,1.28990225,1.984465,9.0
23,I,1.15,0.875,0.275,12.530479,5.88252125,2.96252275,3.78465825,8.0
24,M,1.6,1.225,0.425,39.859397,19.63202875,10.87203325,8.77417025,10.0
25,M,1.25,0.9625,0.3125,16.68368075,7.0590255,4.252425,4.9611625,8.0
26,I,1.475,1.125,0.35,22.5378525,10.19164525,4.97533725,6.19436575,9.0
27,I,1.375,1.1,0.3875,21.829115,8.164656,4.97533725,7.27164675,11.0
28,I,1.0375,0.775,0.2875,10.2908685,4.77689075,1.7293195,2.9199985,7.0
29,I,1.2625,1.0,0.3125,18.5689225,9.05766525,3.4869885,5.2446575,8.0
30,I,1.125,0.8625,0.3375,12.360382,4.29494925,2.26796,3.30271675,7.0
31,I,0.8875,0.6875,0.25,7.38504475,2.45223175,1.65844575,2.6932025,6.0
32,M,1.5125,1.175,0.4,33.26813825,14.75591475,6.67630725,8.0796075,13.0
33,I,1.1,0.875,0.3125,11.80756675,4.46504625,2.5798045,3.685435,9.0
34,M,1.275,0.975,0.3125,17.36406875,8.63242275,3.75630875,4.819415,9.0
35,M,1.4375,1.1125,0.3875,27.839209,12.88484775,6.3786375,7.654365,9.0
36,M,1.525,1.1875,0.375,29.9654215,14.5999925,6.2652395,8.6465975,9.0
37,I,0.9625,0.725,0.225,5.20213325,2.31048425,1.48834875,1.8427175,9.0
38,F,1.525,1.175,0.4,30.94347925,13.02659525,7.7961125,8.50485,11.0
39,I,0.9375,0.725,0.2125,6.13766675,2.62232875,1.63009625,1.8994165,7.0
40,M,1.425,1.125,0.4125,24.67823975,10.489315,5.76912325,7.7961125,10.0
41,M,1.575,1.25,0.4125,33.12639075,12.79979925,7.9095105,10.0640725,9.0
42,F,1.65,1.325,0.475,42.127357,16.8679525,10.149121,14.5999925,11.0
43,F,1.3625,1.1,0.3625,23.88445375,10.87203325,5.14543425,6.9456275,9.0
44,M,0.9625,0.75,0.225,8.40562675,4.03980375,1.70097,2.4097075,10.0
45,M,1.5375,1.2125,0.4,31.864838,15.52135125,6.2085405,8.50485,10.0
46,M,1.6125,1.275,0.4375,39.859397,19.9863975,8.43397625,9.4970825,10.0
47,M,1.525,1.175,0.3875,34.5013415,15.03940975,7.3992195,9.922325,9.0
48,I,1.25,0.9625,0.275,17.22232125,7.6827145,3.01922175,4.252425,7.0
49,I,1.55,1.175,0.375,27.8675585,13.777857,5.96756975,7.5126175,10.0
50,M,1.425,1.15,0.4375,28.33532525,11.4248485,5.71242425,10.0640725,10.0
51,F,1.45,1.125,0.3625,26.7902775,11.15552825,6.066793,7.72523875,10.0
52,M,1.45,1.0875,0.3875,25.41532675,11.0846545,6.08096775,7.087375,10.0
53,M,1.5125,1.2,0.4,32.16250775,13.93377925,7.15824875,9.922325,10.0
54,M,1.5875,1.2125,0.425,29.21415975,12.190285,6.406987,8.9300925,9.0
55,F,1.3375,1.05,0.375,22.80717275,8.6465975,4.12485225,5.8116475,13.0
56,I,1.125,0.8625,0.3,12.94154675,5.443104,2.551455,3.685435,8.0
57,F,1.6,1.275,0.425,39.02308675,17.98775775,8.09378225,10.0640725,11.0
58,F,1.5125,1.175,0.4,33.26813825,15.705623,7.81028725,8.788345,11.0
59,I,0.7125,0.525,0.1625,2.62232875,1.1056305,0.58116475,0.850485,5.0
